Data,Carga
06/02/2020 00:00,67095.285
06/02/2020 01:00,63855.375
06/02/2020 02:00,61840.427
06/02/2020 03:00,60756.992
06/02/2020 04:00,60657.562
06/02/2020 05:00,61749.582
06/02/2020 06:00,63006.143
06/02/2020 07:00,67575.592
06/02/2020 08:00,73144.828
06/02/2020 09:00,75786.213
06/02/2020 10:00,78137.76
06/02/2020 11:00,78250.915
06/02/2020 12:00,76171.29
06/02/2020 13:00,78903.727
06/02/2020 14:00,80895.743
06/02/2020 15:00,81103.242
06/02/2020 16:00,79990.971
06/02/2020 17:00,75205.549
06/02/2020 18:00,73440.56
06/02/2020 19:00,76857.196
06/02/2020 20:00,77422.456
06/02/2020 21:00,78107.824
06/02/2020 22:00,75558.95
06/02/2020 23:00,72196.974
07/02/2020 00:00,67982.24
07/02/2020 01:00,64872.567
07/02/2020 02:00,62715.419
07/02/2020 03:00,61573.466
07/02/2020 04:00,61383.26
07/02/2020 05:00,62513.349
07/02/2020 06:00,63671.277
07/02/2020 07:00,68108.869
07/02/2020 08:00,73631.447
07/02/2020 09:00,76424.699
07/02/2020 10:00,78403.168
07/02/2020 11:00,78520.323
07/02/2020 12:00,76440.737
07/02/2020 13:00,78614.023
07/02/2020 14:00,80203.14
07/02/2020 15:00,79961.981
07/02/2020 16:00,77628.988
07/02/2020 17:00,73394.512
07/02/2020 18:00,71968.471
07/02/2020 19:00,75865.41
07/02/2020 20:00,76189.344
07/02/2020 21:00,75854.951
07/02/2020 22:00,73738.426
07/02/2020 23:00,70896.608
08/02/2020 00:00,67460.694
08/02/2020 01:00,64440.333
08/02/2020 02:00,62237.257
08/02/2020 03:00,60922.497
08/02/2020 04:00,60336.633
08/02/2020 05:00,59767.39
08/02/2020 06:00,58496.699
08/02/2020 07:00,60776.554
08/02/2020 08:00,64240.126
08/02/2020 09:00,66649.225
08/02/2020 10:00,68127.203
08/02/2020 11:00,68377.53
08/02/2020 12:00,67974.256
08/02/2020 13:00,67801.18
08/02/2020 14:00,68152.64
08/02/2020 15:00,68126.651
08/02/2020 16:00,67906.915
08/02/2020 17:00,67938.942
08/02/2020 18:00,70621.587
08/02/2020 19:00,74985.303
08/02/2020 20:00,74294.071
08/02/2020 21:00,72161.713
08/02/2020 22:00,69703.695
08/02/2020 23:00,67173.102
09/02/2020 00:00,64300.979
09/02/2020 01:00,61520.499
09/02/2020 02:00,59453.269
09/02/2020 03:00,58079.388
09/02/2020 04:00,57120.588
09/02/2020 05:00,55766.176
09/02/2020 06:00,53139.625
09/02/2020 07:00,53622.583
09/02/2020 08:00,55098.229
09/02/2020 09:00,56209.31
09/02/2020 10:00,57465.415
09/02/2020 11:00,58146.517
09/02/2020 12:00,58298.684
09/02/2020 13:00,58592.956
09/02/2020 14:00,58823.907
09/02/2020 15:00,59169.242
09/02/2020 16:00,60354.795
09/02/2020 17:00,61952.655
09/02/2020 18:00,65947.217
09/02/2020 19:00,70403.214
09/02/2020 20:00,71069.276
09/02/2020 21:00,70481.908
09/02/2020 22:00,69353.653
09/02/2020 23:00,66944.875
10/02/2020 00:00,63790.795
10/02/2020 01:00,61098.763
10/02/2020 02:00,59580.286
10/02/2020 03:00,58816.481
10/02/2020 04:00,58741.441
10/02/2020 05:00,60212.762
10/02/2020 06:00,61925.802
10/02/2020 07:00,66116.334
10/02/2020 08:00,71544.427
10/02/2020 09:00,74518.875
10/02/2020 10:00,76463.883
10/02/2020 11:00,76239.267
10/02/2020 12:00,73706.753
10/02/2020 13:00,76222.871
10/02/2020 14:00,77779.37
10/02/2020 15:00,77525.179
10/02/2020 16:00,76745.588
10/02/2020 17:00,72490.975
10/02/2020 18:00,71367.167
10/02/2020 19:00,75254.873
10/02/2020 20:00,75937.459
10/02/2020 21:00,76381.719
10/02/2020 22:00,73514.783
10/02/2020 23:00,69306.105
11/02/2020 00:00,64915.613
11/02/2020 01:00,61957.264
11/02/2020 02:00,60053.235
11/02/2020 03:00,59144.851
11/02/2020 04:00,59010.442
11/02/2020 05:00,60363.04
11/02/2020 06:00,61927.95
11/02/2020 07:00,65738.795
11/02/2020 08:00,70675.372
11/02/2020 09:00,72889.522
11/02/2020 10:00,74878.351
11/02/2020 11:00,75115.644
11/02/2020 12:00,72409.284
11/02/2020 13:00,74610.661
11/02/2020 14:00,76437.701
11/02/2020 15:00,76562.963
11/02/2020 16:00,75821.711
11/02/2020 17:00,71585.017
11/02/2020 18:00,70929.009
11/02/2020 19:00,74609.928
11/02/2020 20:00,75023.929
11/02/2020 21:00,75361.967
11/02/2020 22:00,72521.757
11/02/2020 23:00,68197.261
12/02/2020 00:00,63706.374
12/02/2020 01:00,60677.192
12/02/2020 02:00,58826.556
12/02/2020 03:00,58035.427
12/02/2020 04:00,58068.405
12/02/2020 05:00,59755.591
12/02/2020 06:00,61553.621
12/02/2020 07:00,65262.545
12/02/2020 08:00,70206.953
12/02/2020 09:00,72537.089
12/02/2020 10:00,74552.173
12/02/2020 11:00,74892.764
12/02/2020 12:00,72530.416
12/02/2020 13:00,74725.763
12/02/2020 14:00,76566.725
12/02/2020 15:00,76758.757
12/02/2020 16:00,75984.623
12/02/2020 17:00,71794.669
12/02/2020 18:00,71082.38
12/02/2020 19:00,74989.41
12/02/2020 20:00,75494.418
12/02/2020 21:00,75452.806
12/02/2020 22:00,72856.441
12/02/2020 23:00,68386.966
13/02/2020 00:00,63963.108
13/02/2020 01:00,60732.293
13/02/2020 02:00,59047.763
13/02/2020 03:00,58111.252
13/02/2020 04:00,58166.682
13/02/2020 05:00,59728.408
13/02/2020 06:00,61361.751
13/02/2020 07:00,65283.436
13/02/2020 08:00,70344.711
13/02/2020 09:00,72984.159
13/02/2020 10:00,75015.703
13/02/2020 11:00,75455.258
13/02/2020 12:00,73319.92
13/02/2020 13:00,76059.797
13/02/2020 14:00,78373.291
13/02/2020 15:00,78619.556
13/02/2020 16:00,77788.987
13/02/2020 17:00,73547.642
13/02/2020 18:00,72242.159
13/02/2020 19:00,76077.014
13/02/2020 20:00,76449.114
13/02/2020 21:00,76522.378
13/02/2020 22:00,73922.306
13/02/2020 23:00,69635.881
14/02/2020 00:00,65166.98
14/02/2020 01:00,62027.949
14/02/2020 02:00,59900.213
14/02/2020 03:00,58957.674
14/02/2020 04:00,58927.697
14/02/2020 05:00,60353.216
14/02/2020 06:00,61755.733
14/02/2020 07:00,66308.115
14/02/2020 08:00,71877.481
14/02/2020 09:00,74984.882
14/02/2020 10:00,77368.702
14/02/2020 11:00,77834.847
14/02/2020 12:00,75548.609
14/02/2020 13:00,78182.872
